fra;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel;
FR;27/12/2020;494;54;0;494;54;0;0.0;0.0;0.0;
FR;28/12/2020;539;38;0;1033;92;0;0.0;0.0;0.0;
FR;29/12/2020;326;18;0;1359;110;0;0.0;0.0;0.0;
FR;30/12/2020;379;15;0;1738;125;0;0.0;0.0;0.0;
FR;31/12/2020;298;19;0;2036;144;0;0.0;0.0;0.0;
FR;01/01/2021;542;35;0;2578;179;0;0.0;0.0;0.0;
FR;02/01/2021;292;29;0;2870;208;0;0.0;0.0;0.0;
FR;03/01/2021;310;28;0;3180;236;0;0.0;0.0;0.0;
FR;04/01/2021;1878;46;0;5058;282;0;0.0;0.0;0.0;
FR;05/01/2021;5821;69;0;10879;351;0;0.0;0.0;0.0;
FR;06/01/2021;11721;104;0;22600;455;0;0.0;0.0;0.0;
FR;07/01/2021;29209;141;0;51809;596;0;0.1;0.0;0.0;
FR;08/01/2021;36869;193;0;88678;789;0;0.2;0.0;0.0;
FR;09/01/2021;11145;72;0;99823;861;0;0.2;0.0;0.0;
FR;10/01/2021;5813;23;0;105636;884;0;0.2;0.0;0.0;
FR;11/01/2021;39728;222;0;145364;1106;0;0.3;0.0;0.0;
FR;12/01/2021;61879;308;0;207243;1414;0;0.4;0.0;0.0;
FR;13/01/2021;64795;420;0;272038;1834;0;0.5;0.0;0.0;
FR;14/01/2021;82578;1188;0;354616;3022;0;0.6;0.0;0.0;
FR;15/01/2021;68753;581;0;423369;3603;0;0.7;0.0;0.0;
FR;16/01/2021;20096;201;0;443465;3804;0;0.8;0.0;0.0;
FR;17/01/2021;10892;130;0;454357;3934;0;0.8;0.0;0.0;
FR;18/01/2021;85598;614;0;539955;4548;0;0.9;0.0;0.0;
FR;19/01/2021;130351;849;0;670306;5397;0;1.2;0.0;0.0;
FR;20/01/2021;137306;874;0;807612;6271;0;1.4;0.0;0.0;
FR;21/01/2021;157969;976;0;965581;7247;0;1.7;0.0;0.0;
FR;22/01/2021;120726;798;0;1086307;8045;0;1.9;0.0;0.0;
FR;23/01/2021;38361;199;0;1124668;8244;0;2.0;0.0;0.0;
FR;24/01/2021;9672;88;0;1134340;8332;0;2.0;0.0;0.0;
FR;25/01/2021;77989;1530;0;1212329;9862;0;2.1;0.0;0.0;
FR;26/01/2021;100145;3577;0;1312474;13439;0;2.3;0.0;0.0;
FR;27/01/2021;107038;6310;0;1419512;19749;0;2.5;0.0;0.0;
FR;28/01/2021;124113;15094;0;1543625;34843;0;2.7;0.1;0.0;
FR;29/01/2021;91962;17717;0;1635587;52560;0;2.8;0.1;0.0;
FR;30/01/2021;29018;4286;0;1664605;56846;0;2.9;0.1;0.0;
FR;31/01/2021;5164;1694;0;1669769;58540;0;2.9;0.1;0.0;
FR;01/02/2021;52750;21203;0;1722519;79743;0;3.0;0.1;0.0;
FR;02/02/2021;72067;34817;0;1794586;114560;0;3.1;0.2;0.0;
FR;03/02/2021;72089;37192;0;1866675;151752;0;3.2;0.3;0.0;
FR;04/02/2021;81772;50321;0;1948447;202073;0;3.4;0.4;0.0;
FR;05/02/2021;68049;45401;0;2016496;247474;0;3.5;0.4;0.0;
FR;06/02/2021;22714;10516;0;2039210;257990;0;3.5;0.4;0.0;
FR;07/02/2021;5105;5115;0;2044315;263105;0;3.5;0.5;0.0;
FR;08/02/2021;46568;46034;0;2090883;309139;0;3.6;0.5;0.0;
FR;09/02/2021;65771;72984;0;2156654;382123;0;3.7;0.7;0.0;
FR;10/02/2021;70566;77327;0;2227220;459450;0;3.9;0.8;0.0;
FR;11/02/2021;86946;100164;0;2314166;559614;0;4.0;1.0;0.0;
FR;12/02/2021;78929;75331;0;2393095;634945;0;4.1;1.1;0.0;
FR;13/02/2021;22194;19617;0;2415289;654562;0;4.2;1.1;0.0;
FR;14/02/2021;4938;7238;0;2420227;661800;0;4.2;1.1;0.0;
FR;15/02/2021;37774;76610;0;2458001;738410;0;4.3;1.3;0.0;
FR;16/02/2021;50070;100992;0;2508071;839402;0;4.3;1.5;0.0;
FR;17/02/2021;50201;103292;0;2558272;942694;0;4.4;1.6;0.0;
FR;18/02/2021;69386;119341;0;2627658;1062035;0;4.6;1.8;0.0;
FR;19/02/2021;64785;91558;0;2692443;1153593;0;4.7;2.0;0.0;
FR;20/02/2021;18441;28460;0;2710884;1182053;0;4.7;2.0;0.0;
FR;21/02/2021;3187;6416;0;2714071;1188469;0;4.7;2.1;0.0;
FR;22/02/2021;37257;73348;0;2751328;1261817;0;4.8;2.2;0.0;
FR;23/02/2021;53513;84765;0;2804841;1346582;0;4.9;2.3;0.0;
FR;24/02/2021;59589;81934;0;2864430;1428516;0;5.0;2.5;0.0;
FR;25/02/2021;100213;93430;0;2964643;1521946;0;5.1;2.6;0.0;
FR;26/02/2021;113075;73473;0;3077718;1595419;0;5.3;2.8;0.0;
FR;27/02/2021;51894;23030;0;3129612;1618449;0;5.4;2.8;0.0;
FR;28/02/2021;6078;4573;0;3135690;1623022;0;5.4;2.8;0.0;
FR;01/03/2021;65215;54169;0;3200905;1677191;0;5.6;2.9;0.0;
FR;02/03/2021;100954;68757;0;3301859;1745948;0;5.7;3.0;0.0;
FR;03/03/2021;115895;68596;0;3417754;1814544;0;5.9;3.1;0.0;
FR;04/03/2021;163033;73772;0;3580787;1888316;0;6.2;3.3;0.0;
